36766,6,1,1,4,15,24,81,16,14,12
2969,1511,3024,5657,6320,2901,1343,504,198,73,66
26213,7705,7684,10770,9406,3947,1655,461,213,113,188
35280,3,,,8,1,2,2,,,4
12809,5,3,4,9,5,7,4,2,1,2
9013,31,37,95,89,84,25,4,5,5,13
36643,4,,4,27,42,72,29,7,6,17
12835,7,,6,13,12,12,3,2,7,5
1133,1128,1562,3032,3904,1944,1118,538,223,149,111
40902,20977,26649,48684,55406,28398,12659,7191,2897,1417,1053
38104,113,55,119,234,254,185,61,40,28,44
3070,17,16,52,101,157,148,88,52,28,52
38098,372,781,2153,2610,1214,512,186,72,27,32
48405,,,,,,,,,,
9260,47237,71470,77055,31958,9126,3098,1309,581,325,639
36196,83,52,175,394,524,406,145,52,63,36
33480,4,,,2,2,8,2,3,,36
28257,63,80,142,219,147,100,33,14,5,9
42178,14,9,20,37,64,73,38,19,10,8
41217,23,37,75,154,100,79,34,13,13,15
2191,84,75,132,252,266,229,87,45,30,46
1805,107,176,352,626,464,295,105,39,25,16
49997,,1,2,9,15,12,,,2,4
17649,7,,2,11,8,2,4,3,1,1
4362,244,425,953,1506,1014,642,250,123,86,68
37696,6,,1,2,9,29,11,6,4,5
7108,87,95,172,329,419,312,122,51,35,32
40395,7,1,3,15,16,15,21,5,3,13
38975,117,80,210,298,301,165,67,31,22,28
20797,4,,3,2,4,9,8,6,1,4
6069,100,125,233,337,252,157,80,45,26,36
50583,,,,,,,,,,
36866,3,1,3,12,9,8,4,5,2,7
45448,6,2,2,7,3,3,1,1,,1
6773,13638,17751,28236,25702,12854,6265,3540,1421,733,558
8729,7,,2,7,28,58,30,23,15,13
3795,59,36,69,128,175,147,76,37,30,33
32195,39,18,49,75,89,67,17,12,10,13
895,4074,3837,8434,17152,14853,8410,3243,1177,487,251
1883,49,36,102,188,177,104,68,32,25,17
32613,323,202,457,1081,1177,851,488,268,178,137
3546,28,33,36,65,52,31,11,4,3,5
21891,14,5,4,13,24,40,27,23,20,22
4697,23,17,32,80,88,111,99,62,34,34
36611,3,,5,3,3,6,2,6,,11
6574,2177,3781,8876,11025,5089,2152,658,261,132,139
29141,4,2,6,20,36,86,29,9,10,12
30940,3,,,2,4,1,1,,1,2
3584,17,7,18,41,55,100,78,60,43,53
16690,77,77,233,503,453,326,125,49,21,28
50379,,,,,,,,,,
33392,4710,871,1514,2551,2681,2155,1390,956,815,1071
1280,131,191,494,1067,990,674,289,136,78,30
7157,25,13,41,100,120,55,22,15,6,10
15129,4,4,,18,8,8,5,1,1,2
3877,19,16,30,71,78,42,27,7,7,6
29035,122,114,323,703,723,437,198,86,40,30
35161,10,,,3,,1,,,1,1
36030,6,11,28,51,62,35,47,11,6,3
43523,12026,19255,44200,36510,11242,3811,1288,499,229,185
33262,3,,,3,2,5,2,8,,12
