anime_id,watching,completed,on-hold,dropped,plan to watch,total
29862,21,192,21,56,185,475
41097,17,0,11,33,42,103
39519,896,13342,265,1094,4907,20504
6211,10234,135489,8004,6340,110256,270323
8599,470,11922,276,177,5073,17918
30410,22,258,13,78,159,530
38129,5,89,4,57,37,192
34949,19,22,3,33,66,143
7375,777,15576,608,390,5823,23174
29750,21,108,9,71,126,335
43232,0,8,2,6,9,25
2642,12,166,11,38,101,328
5589,172,900,93,152,672,1989
1771,104,915,60,95,827,2001
30118,9,64,8,64,47,192
6150,10,107,11,36,156,320
39297,1,141,2,11,38,193
34107,496,4596,323,218,1607,7240
1370,70,5579,43,75,1633,7400
33108,9,71,8,75,56,219
22611,9,204,8,59,125,405
162,826,12702,1147,1627,5580,21882
44590,36,470,37,48,497,1088
28735,18143,94527,11334,7716,127925,259645
28953,20,527,7,31,207,792
50406,0,0,0,0,483,483
50064,4,81,2,3,32,122
28851,38282,1605234,5269,2540,235991,1887316
22461,14,193,7,44,116,374
37600,97,679,77,113,3399,4365
36784,580,3371,253,971,2200,7375
49858,0,0,0,0,20817,20817
38786,4,86,2,28,33,153
36183,7,151,1,12,34,205
7531,15,111,10,88,134,358
5647,64,456,46,89,751,1406
26319,7,35,2,46,42,132
39157,2,32,5,23,42,104
33447,926,8415,420,1428,3862,15051
41822,11,49,3,11,112,186
34161,1852,36110,753,974,30157,69846
42132,31,90,10,31,154,316
3881,67,363,49,109,538,1126
1394,74,1265,49,66,785,2239
10500,297,11690,190,100,6659,18936
32845,6,192,3,19,40,260
35716,0,1,0,0,12866,12867
12057,782,6991,394,340,2519,11026
18819,14,126,17,76,131,364
9424,35,298,16,79,168,596
50436,0,0,0,0,726,726
36550,11,64,7,43,52,177
32899,25247,243623,12227,22425,82810,386332
22955,810,1557,813,1840,4268,9288
12291,14026,170956,10005,11961,81040,287988
7374,32,279,37,102,378,828
15663,19,201,7,45,120,392
23101,533,3609,286,219,1337,5984
33194,23,122,9,53,170,377
30208,8,76,3,38,27,152
7836,25,173,21,77,323,619
7510,52,497,25,62,775,1411
1434,97,3785,90,92,2034,6098
3427,184,1325,119,141,997,2766
38916,92,391,27,71,398,979
17539,664,4125,355,332,1880,7356
22821,29,117,14,109,153,422
48694,164,213,52,37,737,1203
3358,3528,44542,2732,2639,31728,85169
42653,477,662,157,260,988,2544
37618,1413,8107,361,405,6959,17245
10501,77,3918,40,81,937,5053
25061,27,89,8,49,250,423
12979,6757,46619,6483,8959,14296,83114
10819,91,2282,82,82,1512,4049
37483,55,226,37,45,3442,3805
1992,84,887,53,79,751,1854
2482,67,894,42,49,673,1725
38467,295,698,49,90,871,2003
39664,7,29,7,45,48,136
36312,6,19,1,37,29,92
33075,1058,36714,470,284,13728,52254
38571,8,47,3,34,56,148
3825,38,308,31,109,460,946
32859,4,223,3,23,39,292
28055,10,296,4,47,81,438
42803,943,6984,331,172,4310,12740
17485,11,181,8,41,138,379
48616,40,151,22,38,320,571
10671,945,13011,621,1059,6913,22549
12117,427,33074,203,241,3747,37692
1390,177,1735,101,142,905,3060
30959,7,37,4,54,44,146
26249,6,30,3,41,44,124
9982,9086,124176,4024,2181,16314,155781
39184,2823,9795,1341,1988,13029,28976
38977,10,204,2,18,80,314
40256,2158,20581,1191,2542,8033,34505
41136,4,60,7,36,67,174
270,25652,422143,17856,18746,146628,631025
1361,327,63628,167,296,3504,67922
40477,239,3391,85,128,3095,6938
11869,31,2361,12,63,364,2831
33822,7,21,2,43,37,110
39217,44,2383,44,49,721,3241
3999,553,2781,298,261,1849,5742
33378,797,8443,267,179,11534,21220
45540,1,11,0,15,19,46
49571,528,0,19,24,412,983
39356,11,64,12,50,190,327
2714,56,509,35,39,601,1240
2117,188,8911,156,213,1530,10998
430,2704,264401,1466,868,35377,304816
6297,34,495,12,51,260,852
38539,11,121,7,17,131,287
5873,33,1215,12,62,251,1573
2332,372,7985,169,131,4903,13560
38034,1504,9578,681,541,2789,15093
33187,26,6013,18,47,232,6336
16035,11762,108452,9087,12923,57539,199763
29373,13,63,18,58,59,211
40746,7189,71807,1671,3471,25242,109380
49527,1,64,2,2,10,79
7571,60,662,36,39,506,1303
2107,602,49053,451,400,7495,58001
32526,9852,100381,4837,6272,40661,162003
42339,1,19,2,12,30,64
5821,34,210,18,111,151,524
7862,41,623,21,63,322,1070
21935,14,108,3,62,75,262
48026,1,20,0,5,8,34
33978,12,141,11,61,109,334
33979,476,5348,275,252,1453,7804
22325,11,42,5,40,132,230
42748,3,57,2,14,28,104
50404,2,0,1,0,16588,16591
34373,18,91,8,51,92,260
46652,89,0,20,103,385,597
758,287,9257,231,164,4490,14429
