anime_id,score,rating_count,ranked,popularity,members,favorites
34979,5.90,276,,11435,964,2
39803,6.00,1730,,7953,3985,9
34223,3.27,730,,8470,3106,3
9165,6.07,207,,12075,761,0
26255,N/A,,,17749,123,0
36061,5.14,149,,15212,278,0
34436,N/A,,,14545,330,0
27577,N/A,,,14588,326,0
31317,N/A,,,15880,233,0
1313,7.23,132093,,917,205708,683
37839,N/A,,,5908,8189,5
23593,N/A,,,16146,217,0
33238,6.66,319,,12214,722,5
4129,5.81,256,,12224,718,0
807,7.31,22500,,2754,43505,62
22293,5.64,217,,13325,479,0
33872,5.06,151,,14330,351,0
42568,6.50,10493,,2978,39243,128
31834,5.10,283,,13106,521,0
8457,7.39,14749,,3062,36476,19
36895,6.53,2987,,6216,7262,23
39793,5.72,365,,12515,687,0
40208,6.60,505,,8879,2770,8
39741,8.41,168307,,613,312988,1151
32502,6.06,800,,8225,3413,7
2927,7.29,37757,,1873,85280,283
31261,4.90,206,,13745,414,0
34835,6.74,550,,10248,1579,2
2261,5.94,1576,,7370,4714,46
29165,6.27,2175,,6161,7356,3
7305,7.64,3757,,5605,9217,7
43323,N/A,,,17897,119,0
5565,5.50,235,,11459,958,1
38919,N/A,,,14461,340,1
42457,N/A,,,17978,112,0
3130,6.48,427,,11371,993,0
40941,5.38,963,,8673,3033,8
39117,N/A,,,15040,291,1
22131,N/A,,,16543,192,0
49361,7.54,7310,,4529,15768,27
2318,3.87,911,,9939,1787,3
37075,5.45,119,,16219,213,0
39212,N/A,,,16633,189,0
42977,8.23,2287,,7533,4902,29
32268,7.64,115808,,869,217284,335
33462,5.97,8414,,4032,20687,26
1266,6.50,882,,9239,2321,6
27945,7.21,4026,,4760,13930,12
39518,N/A,,,7111,5116,6
11595,6.51,1635,,8542,3023,9
8316,5.95,156,,12667,615,0
1215,7.15,11542,,3983,21422,38
7639,N/A,,,14344,350,2
3750,7.78,8455,,4088,20020,89
1386,5.60,1632,,7308,4784,9
31737,7.03,222026,,462,380841,717
277,7.16,15286,,3366,30315,39
48033,N/A,,,19207,27,0
22487,5.93,135,,13560,441,1
35409,5.50,152,,14724,316,0
28561,N/A,,,17475,140,0
32998,7.83,267555,,262,601039,6644
37984,7.45,146030,,574,314231,3161
19839,N/A,,,15071,287,1
48968,N/A,,,18065,113,0
11853,6.20,1685,,7177,4984,0
7270,7.57,3740,,5214,11020,24
6880,7.17,607507,,92,1099611,6141
6227,6.05,510,,9861,1837,0
47960,N/A,,,19104,28,0
4088,6.00,138,,11812,840,0
50644,N/A,,,18139,91,1
42302,6.35,164,,11383,1067,2
17010,6.39,1056,,9875,1828,4
6830,4.65,465,,11680,882,0
23659,N/A,,,13234,495,0
37881,5.88,376,,11708,873,0
36358,N/A,,,17328,147,0
22577,N/A,,,14922,300,1
27793,5.65,1479,,9240,2319,2
35516,5.11,163,,11338,1002,7
9053,5.46,424,,10601,1355,3
38272,N/A,,,12623,628,1
2418,8.28,147795,,617,296456,2747
37980,5.86,752,,7854,3944,6
29003,N/A,,,15821,237,0
32947,5.71,17741,,2594,49305,48
1854,6.43,1541,,8132,3558,10
32642,5.16,211,,13814,405,0
40037,N/A,,,13571,456,1
7255,5.37,407,,11711,867,0
51,6.29,25690,,2694,45985,175
48420,N/A,,,18673,64,0
47162,N/A,,,6223,13467,43
42952,N/A,,,13371,490,0
36214,7.73,35570,,1880,85047,820
40335,5.44,372,,6499,6533,6
43340,N/A,,,18888,31,0
50060,N/A,,,13015,539,0
36797,5.86,776,,8864,2694,4
38504,N/A,,,17323,149,0
3824,5.21,433,,10490,1414,3
8366,6.70,1672,,8227,3420,1
38805,N/A,,,16263,211,0
24231,7.19,99982,,1000,186070,169
7411,7.48,22884,,2689,46205,511
34246,6.72,1757,,6719,5916,12
26257,N/A,,,16786,178,0
47616,4.64,19009,,2877,42494,165
42181,N/A,,,17728,131,0
9810,6.49,416,,11548,929,3
30243,7.02,8826,,4044,20554,156
154,7.77,171359,,538,332482,3518
16199,6.65,9282,,4258,18426,16
38254,6.40,4078,,5184,11199,10
3910,4.76,588,,10106,1678,5
42805,N/A,,,15296,299,0
437,8.52,283771,,320,537175,13901
22511,5.69,121,,13303,482,0
48349,N/A,,,18518,64,0
36022,6.50,2728,,6392,6660,8
40776,8.54,327301,,270,613326,5166
31463,N/A,,,13974,386,0
37940,6.24,11251,,3569,27199,13
3881,6.24,226,,11070,1123,3
9903,N/A,,,16057,220,0
42153,N/A,,,17718,139,0
527,7.35,320290,,302,553493,4528
38186,7.30,185136,,489,362777,1483
13939,7.12,55764,,1592,106789,91
6522,N/A,,,14877,303,0
3056,5.94,694,,9607,2012,0
40621,N/A,,,17054,178,1
25549,5.17,659,,11038,1137,0
11685,6.53,576,,10668,1314,1
3734,6.88,675,,9387,2195,12
50864,N/A,,,19287,1141,1
31246,6.14,134,,12381,684,1
2378,6.13,911,,8967,2592,9
19645,7.28,3883,,6701,5962,1
38681,6.48,1114,,7249,4887,2
37140,7.22,4790,,2719,44917,112
48055,N/A,,,18844,28,0
1261,7.02,4476,,5065,11993,57
4667,6.37,2309,,7434,4594,8
28759,5.96,108,,14525,332,0
17673,N/A,,,13704,419,1
134,7.40,69204,,1055,173773,1087
2229,7.59,9404,,3998,21277,101
7041,7.39,4624,,5053,12057,2
43568,6.99,2906,,7336,4976,1
12067,7.33,8168,,4294,18050,23
38925,N/A,,,16198,213,0
35760,8.63,1249293,,23,1861636,17719
45698,N/A,,,18647,47,0
4205,6.95,6404,,5092,11818,5
36702,7.78,14812,,2471,54487,76
11357,4.54,415,,11645,893,4
2109,7.05,3225,,5766,8650,21
38411,5.47,243,,11509,957,4
22543,6.76,3850,,5463,9843,39
43439,7.75,53977,,1228,158885,1147
48072,N/A,,,18778,36,0
40197,6.06,2132,,7222,5028,31
42250,7.91,27295,,1973,82308,792
43800,N/A,,,19239,25,0
15881,6.23,15048,,3117,35136,18
16800,N/A,,,16327,204,1
40141,N/A,,,16754,190,0
24995,5.75,133,,15137,283,0
1064,7.32,3807,,5580,9337,54
36191,6.12,923,,9304,2258,2
14069,N/A,,,15490,260,0
36672,5.48,138,,15287,279,0
41708,N/A,,,17233,166,0
30694,7.41,409518,,216,692393,8559
9500,N/A,,,13597,438,0
50515,N/A,,,12879,567,2
37595,6.94,1562,,6913,5481,12
41192,5.20,160,,14532,349,1
45869,N/A,,,18846,33,0
2885,6.09,316,,10639,1329,4
